IDrespond,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Age,Education,Occupation,Income,q1k,q2k,q3k,q4k,Q5K1,Q5K2,Q5K3,Q5K4,Q5K5,Q5K6,Q5K7,Q6K,Q7K,Q8K,Q9K,Q10C1,Q10C2,Q10C3,Q10C4,Q10C5,Q10C6,Q10C7,Q11C1,Q11C2,Q11C3,Q11C4,Q11C5,Q12C1,Q12C2,Q12C3,Q12C4,Q12C5,Q12C6,Q12C8,Q13C1,Q13C2,Q13C3,Q13C4,Q13C5,Q13C6,Q14C,Q15C1,Q15C2,Q15C3,Q15C4,Q15C5,Q15C6,Q16P1,Q16P2,Q16P3,Q16P4,Q16P5,Q17P1,Q17P2,Q17P3,Q17P4,Q17P5,Q18I1,Q18I2,Q18I3,Q18I4,Q22C1,Q22C2,Q22C3,Q22C4,Q22c5,Q22c6
QSI1,1, ,100,7,1,3/29/2019,R_30dTv4hUBdPprXm, , , , ,10.81419373,106.6437988,preview,FR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI2,0,113.185.14.228,100,11,1,3/29/2019,R_1MWMRNiYwv1v2Lx, , , , ,10.81419373,106.6437988,anonymous,EN, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI3,0,113.23.91.234,100,77,1,3/29/2019,R_2WuptvQZNWfpqQQ, , , , ,21.03129578,105.851593,anonymous,VI, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI4,0,27.67.141.222,100,617,1,3/29/2019,R_2ydAny78REimWMM, , , , ,21.03129578,105.851593,anonymous,VI,2,36,3,2, ,2,4,1,1,1, , , , , , ,2,1,1,1, , , , , , , ,5,5,3,3, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI5,0,171.254.66.85,100,194,1,04/01/2019,R_BCUVJy7EY9iCiOJ, , , , ,10.81419373,106.6437988,anonymous,VI,2,21,2,1, ,2,4,1,1,1, , , , , , ,2,1,1,2, , , , , , , ,2,4,3,5, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI6,0,1.55.199.236,100,296,1,04/01/2019,R_1PeqJkBWc4ylRwL, , , , ,10.81419373,106.6437988,anonymous,VI,2,29,3,2, ,1,4,1,1,1, , , , , , ,3,2,1,1, , , , , , , ,4,3,4,4, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI7,0,27.67.37.92,100,647,1,04/02/2019,R_2f6SG9SUWwKssq3, , , , ,21.03129578,105.851593,anonymous,VI,2,36,3,2, ,2,1,1,1,1,1,1, ,1,1, ,1,2,1,2, , , , , , , ,3,3,2,1,1, , , , , , , , , , , , , ,1, , , , , , ,1, , , , ,2,2,3,2,3,4,4,3,5, , , , , , 
QSI8,1, ,100,108,1,04/02/2019,R_1i4fLffGAE6pZIs, , , , ,21.03129578,105.851593,preview,EN, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
QSI9,1, ,100,658,1,04/02/2019,R_2PiGDrTmdgjDqRb, , , , ,21.03129578,105.851593,preview,VI,2,44,3,2, ,1,1,4,1, ,1,1,1,1,1, ,1,1,4,2, , , , , , , ,1,1,1,1,1, , , , , , , , , , , , , ,2, , , , , , , ,1, , , ,1,1,1,1,1,5,5,5,5,2,3,4,5,1,6
QSI10,1, ,100,278,1,04/02/2019,R_1kFVImiQckC2sjY, , , , ,10.81419373,106.6437988,preview,EN,2,11,3,2, ,2,2,2,1,1,1, , , , , ,1,1,1,1, , , , , , , ,2,1, , , , , , , , , , , , , , , , ,2, , , , , , ,1, , , , ,1,1,1,1,4,3,3,4,4,4,2,6,1,3,5
